Title,Rating,User_id
I Am Watching You,3,169695558
"Three to Get Deadly
        (Stephanie Plum, #3)",3,169695558
"Before the Coffee Gets Cold
        (Before the Coffee Gets Cold, #1)",4,169695558
"Dark Sacred Night
        (Renée Ballard, #2; Harry Bosch, #21; Harry Bosch Universe, #32)",4,169695558
"Two for the Dough
        (Stephanie Plum, #2)",4,169695558
"The Catholic Guide Through Anxiety: Sacred Heart Mental Wellness, with Foreword by Fr. John Paul Mary Zeller, MFVA",3,169695558
"No Tomorrow
        (Killing Eve, #2)",3,169695558
Flowers for Algernon,3,169695558
The Crucible,2,169695558
Hamlet,2,169695558
"Holes
        (Holes, #1)",4,169695558
Island of the Blue Dolphins,1,169695558
The Briar Club,4,169695558
"Dressed to Drill
        (Fixer-Upper Mystery, #10)",2,169695558
"The Heiress's Daughter
        (The Brides of Bellaire Gardens #3)",5,169695558
"A Court of Wings and Ruin
        (A Court of Thorns and Roses, #3)",4,169695558
"The Spy and I
        (My Spy #1)",5,169695558
"A Court of Mist and Fury
        (A Court of Thorns and Roses, #2)",5,169695558
Mindfulness in Plain English,4,169695558
"Scarlet
        (Scarlet Revolution, #1)",4,169695558
The Bodyguard,5,169695558
"A Court of Thorns and Roses
        (A Court of Thorns and Roses, #1)",5,169695558
Mr. & Mrs. Smith,3,169695558
"One for the Money
        (Stephanie Plum, #1)",5,169695558
"Scarlet
        (The Lunar Chronicles, #2)",5,169695558
"Just Ella
        (The Palace Chronicles, #1)",4,169695558
"Princess Academy
        (Princess Academy, #1)",4,169695558
Fairest,5,169695558
"Ella Enchanted
        (Ella Enchanted, #1)",5,169695558
Sophie’s World,2,169695558
Gulliver’s Travels,3,169695558
"Codename Villanelle
        (Killing Eve, #1)",4,169695558
"The League of Gentlewomen Witches
        (Dangerous Damsels, #2)",3,169695558
"Always Her Cowboy
        (Rustlers Creek, #3)",3,169695558
The Last to Vanish,3,169695558
A Million Kisses in Your Lifetime,3,169695558
"Wicked Business
        (Lizzy & Diesel, #2)",3,169695558
"Wicked Appetite
        (Lizzy & Diesel, #1)",4,169695558
The German Heiress,4,169695558
First Lie Wins,4,169695558
"An Echo in the Bone
        (Outlander, #7)",5,169695558
"The Fiery Cross
        (Outlander, #5)",4,169695558
"A Breath of Snow and Ashes
        (Outlander, #6)",5,169695558
"Drums of Autumn
        (Outlander, #4)",5,169695558
"Outlander
        (Outlander, #1)",5,169695558
"Voyager
        (Outlander, #3)",5,169695558
"Dragonfly in Amber
        (Outlander, #2)",5,169695558
How to Stop Time,4,169695558
The Paris Model,4,169695558
The Girl in the Castle,4,169695558
"A Princess in Theory
        (Reluctant Royals, #1)",4,169695558
You Can Run,5,169695558
"The Red Queen by Gregory, Philippa [Touchstone,2011] (Paperback) Reprint Edition",2,169695558
"The Hitchhiker’s Guide to the Galaxy
        (The Hitchhiker's Guide to the Galaxy, #1)",4,169695558
The Poisonwood Bible,1,169695558
"Allegiant
        (Divergent, #3)",5,169695558
"Insurgent
        (Divergent, #2)",5,169695558
"Mockingjay
        (The Hunger Games, #3)",5,169695558
"Catching Fire
        (The Hunger Games, #2)",5,169695558
One Flew Over the Cuckoo’s Nest,2,169695558
Need to Know,5,169695558
"Harry Potter and the Prisoner of Azkaban
        (Harry Potter, #3)",5,169695558
"Harry Potter and the Half-Blood Prince
        (Harry Potter, #6)",5,169695558
"Harry Potter and the Goblet of Fire
        (Harry Potter, #4)",5,169695558
"Harry Potter and the Chamber of Secrets
        (Harry Potter, #2)",5,169695558
"Harry Potter and the Deathly Hallows
        (Harry Potter, #7)",5,169695558
"Harry Potter and the Order of the Phoenix
        (Harry Potter, #5)",5,169695558
To Have and to Heist,3,169695558
The Outsiders,4,169695558
The Grapes of Wrath,1,169695558
Les Misérables,2,169695558
Macbeth,2,169695558
The Scarlet Letter,2,169695558
A Tale of Two Cities,2,169695558
Mere Christianity,5,169695558
The Immortal Life of Henrietta Lacks,4,169695558
A People’s History of the United States: 1492 - Present,2,169695558
Animal Farm,1,169695558
The Fault in Our Stars,4,169695558
To Kill a Mockingbird,5,169695558
The Seven Husbands of Evelyn Hugo,5,169695558
"A Lady's Guide to Scandal
        (A Lady's Guide, #2)",4,169695558
"The Countess
        (The Scandalous Ladies of London, #1)",4,169695558
The Alice Network,5,169695558
"Secret Service
        (Kate Henderson #1)",4,169695558
"The Late Show
        (Renée Ballard, #1; Harry Bosch Universe, #30)",5,169695558
The Empress,3,169695558
The Time Traveler’s Wife,4,169695558
"Cinder
        (The Lunar Chronicles, #1)",5,169695558
Heartless,5,169695558
The Huntress,5,169695558
The New Neighbor,4,169695558
"The Lincoln Lawyer
        (The Lincoln Lawyer, #1; Harry Bosch Universe, #16)",4,169695558
"The Fifth Witness
        (The Lincoln Lawyer, #4; Harry Bosch Universe, #23)",4,169695558
"The Blonde Identity
        (Blonde Identity, #1)",5,169695558
"United We Spy
        (Gallagher Girls, #6)",5,169695558
"Cross My Heart and Hope to Spy
        (Gallagher Girls, #2)",5,169695558
"Don't Judge a Girl by Her Cover
        (Gallagher Girls, #3)",5,169695558
"Only the Good Spy Young
        (Gallagher Girls, #4)",5,169695558
"Heist Society
        (Heist Society, #1)",5,169695558
"I'd Tell You I Love You, But Then I'd Have to Kill You
        (Gallagher Girls, #1)",5,169695558
The Housekeepers,2,169695558
"New Moon
        (The Twilight Saga, #2)",3,169695558
"Divergent
        (Divergent, #1)",5,169695558
Romeo and Juliet,2,169695558
Jane Eyre,1,169695558
The Catcher in the Rye,4,169695558
"The Giver
        (The Giver, #1)",4,169695558
"Harry Potter and the Philosopher’s Stone
        (Harry Potter, #1)",5,169695558
"The Hunger Games
        (The Hunger Games, #1)",5,169695558
"The Lightning Thief
        (Percy Jackson and the Olympians, #1)",5,169695558
"Eragon
        (The Inheritance Cycle, #1)",5,169695558
"The Golden Compass
        (His Dark Materials, #1)",4,169695558
"Twilight
        (The Twilight Saga, #1)",3,169695558
My Friends,Invalid rating,7365405
FOUR FATAL FLYING FRUITCAKES: A Ravenwood Cove Christmas mystery,3,7365405
"MOVIES, MOTIVES, and MURDER: A Ravenwood Cove Cozy Mystery
        (book 17)",4,7365405
"Mother, Daughter",4,7365405
"The Bone Elixir
        (Benjamin Oris #3)",5,7365405
First Call,5,7365405
"Death of a Bacon Heiress
        (Hayley Powell Food and Cocktails Mystery #7)",4,7365405
"Peppermint Barked
        (A Spice Shop Mystery, #6)",5,7365405
Potager Plot,4,7365405
"Joanne Fluke Christmas Bundle: Sugar Cookie Murder, Candy Cane Murder, Plum Pudding Murder, & Gingerbread Cookie Murder",4,7365405
Recycled Love,5,7365405
"The Bone Hunger
        (Benjamin Oris #2)",5,7365405
The Good Girls,4,7365405
The Widow's Secret,3,7365405
"Fan Mail
        (An Aspen Adams Novel of Suspense Book 2)",4,7365405
The Lakewood Legacy: Encrypted Secrets,5,7365405
My Mother's Ridiculous Rules for Dating,3,7365405
"Spirit of the Dead
        (Whisky Business Mysteries Book 6)",4,7365405
Picking up the Pieces,4,7365405
This One Life,4,7365405
Famous Last Words,4,7365405
The Doll's House,4,7365405
The Widow's Husband's Secret Lie,4,7365405
An Unwanted Guest,4,7365405
Someone We Know,4,7365405
Cross My Heart,3,7365405
"Waiting for the Flood
        (Spires, #2)",4,7365405
"Glitterland
        (Spires, #1)",4,7365405
"Pansies
        (Spires #4)",4,7365405
"Look Up, Handsome",4,7365405
The Rules of Royalty,4,7365405
The Lost Bookshop,4,7365405
The Gardener's Plot,3,7365405
"Booked for Murder: An Old Juniper Bookshop Mystery
        (Old Juniper Bookstore Mysteries Book 1)",4,7365405
The Story Collector,4,7365405
"Paris Daillencourt Is About to Crumble
        (Winner Bakes All, #2)",3,7365405
"Identity Unknown
        (Kay Scarpetta, #28)",4,7365405
"Rosaline Palmer Takes the Cake
        (Winner Bakes All, #1)",4,7365405
"Frost Claim
        (Demons of Frosteria #1)",5,7365405
Vampires in Wonderland: The Complete Series,5,7365405
These Vicious Thorns: Tales of the Lovely Grim,5,7365405
Savage Delights: Two Dark Tales,5,7365405
"Mirror, Mirror",5,7365405
Cursed Hearts: The Complete Duology,5,7365405
Cruel Curses: The Complete Series,5,7365405
"The Knife Before Christmas
        (A Fixer-Upper Mystery Book 11)",4,7365405
Two Mothers,4,7365405
The Lions of Fifth Avenue,4,7365405
You Had Me at Happy Hour,5,7365405
A Stranger in the House,3,7365405
"Killers of a Certain Age
        (Killers of a Certain Age, #1)",4,7365405
Here One Moment,3,7365405
The Wife Between Us,3,7365405
The Wife at the Window,3,7365405
"For Real
        (Spires, #3)",3,7365405
Day Drinking Esmerald's Story,5,7365405
"The Incident of the Book in the Nighttime
        (A Sherlock Holmes Bookshop Mystery, #10)",4,7365405
"Origin
        (Robert Langdon, #5)",3,7365405
The Couple Next Door,4,7365405
"Trouble Is Brewing
        (Tea by the Sea Mysteries Book 5)",4,7365405
"The First Shot
        (Mrs. Parrish, #0.5)",3,7365405
"Every Time I Go on Vacation, Someone Dies
        (The Vacation Mysteries, #1)",3,7365405
"Everyone This Christmas Has a Secret
        (The Ernest Cunningham Mysteries, #3)",4,7365405
Summer Reading,5,7365405
Paris is Always a Good Idea,4,7365405
"French Quarter Fright Night
        (Vintage Cookbook Mystery 3)",5,7365405
The Lost Apothecary,3,7365405
"The Mistletoe Mystery
        (Molly the Maid #2.5)",4,7365405
Love at First Book,5,7365405
"Murder Takes the Stage
        (A Phyllida Bright Mystery Book 4)",4,7365405
"Deadly Crush
        (Cece Barton Mystery, #2)",4,7365405
BEACH BODY BINGO: A Ravenwood Cove Cozy Mystery extra story,4,7365405
"I'll Be Home for Mischief
        (Christmas Tree Farm Mystery, #5)",4,7365405
"Murder on the Page
        (A Literary Dining Mystery Book 1)",4,7365405
One by One,4,7365405
One True Loves,4,7365405
"A Grave Betrayal
        (Lady Evelyn Mystery, #7)",5,7365405
What Have You Done?,4,7365405
Final Girls,5,7365405
Look In the Mirror,4,7365405
You Will Never Be Me,4,7365405
An Unholy Death—A Novella: A Food Lovers’ Village Mystery,5,7365405
Murder on a Snowy Evening,4,7365405
"Five Furry Familiars
        (Kitchen Witch Mysteries #5)",4,7365405
Her Cruel Dahlias,5,7365405
"Death of a Gingerbread Man
        (Hayley Powell Food and Cocktails Mystery, #17)",4,7365405
"Guilt and Ginataan
        (A Tita Rosie's Kitchen Mystery, #5)",4,7365405
"The Strange Case of Monsieur Bertin
        (Pendergast, #18.5)",4,7365405
"Angel of Vengeance
        (Pendergast, #22)",4,7365405
"Six Stunning Sirens
        (Kitchen Witch Mysteries Book 6)",4,7365405
"All's Fair in Love and Treachery: A Mystery
        (Lady Petra Inquires Book 2)",4,7365405
"A Slay Ride Together With You
        (Year-Round Christmas Mystery Book 7)",4,7365405
Middle of the Night,4,7365405
"The Next Mrs. Parrish
        (Mrs. Parrish, #2)",4,7365405
Sisters Through The Ages: A Novella,5,7365405
The Midnight Feast,3,7365405
"In the Still of the Night
        (Whisky Business Mysteries Book 5)",4,7365405
Ravens' Retreat: A paranormal horror story,5,7365405
One Perfect Couple,4,7365405
Swimming to Lundy,4,7365405
"The Celebration Game
        (Campfire Fantasy Tales #3)",5,7365405
"Arkangel
        (Sigma Force #18)",4,7365405
